"Record ID","Survey Identifier","Survey Timestamp","Please enter a survey ID to associate your responses at the mid-term with responses at the end of the semester. For your ID, please enter the first initial of the first name of an important person in your life, then the number of siblings you have, then the first initial of your high school, and finally the year you were born.     For example, if I use my mom Susan, my one sister, my high school Bedford High, and my birth year, my survey ID would be S1B1989.     If you entered an ID during the mid-term, please use the same information this time.","The instructor presented content in an organized manner.","The instructor explained the concepts clearly.","The instructor was helpful when I had difficulties or questions.","The instructor provided clear constructive feedback.","Considering both the limitations and possibilities of the subject matter and the course, how would you rate the overall effectiveness of this instructor?","What could the instructor improve, if anything?",Complete?
1,,"2020-10-02 08:48:37",800618927,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,"Nothing to improve ",Complete
2,,"2020-10-02 09:35:56",R2A1994,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,"I feel the instructor has done great with communication and feedback from journals. He responds in a timely manner to emails and is always there to help if we have questions or need assistance. There is not anything they could improve on in my view.",Complete
3,,"2020-10-02 11:00:29",D3T2000,Agree,Agree,Neutral,Agree,Excellent,"I feel like it's easier to have the discussion and reply to the discussion due on the same day. It's not a big deal at all, but it could easily be done all at once. ",Complete
4,,"2020-10-02 11:27:48",LL1E1999,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,,Complete
5,,"2020-10-02 11:36:11",J1M1999,"Strongly Agree","Somewhat Agree","Strongly Agree","Strongly Agree",Great,"Nothing, perhaps doing video lectures. ",Complete
6,,"2020-10-02 16:10:31",L4F2001,"Strongly Agree","Strongly Agree",Agree,Agree,Excellent,"The weekly announcements really help! ",Complete
7,,"2020-10-02 16:57:43",N1C1999,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,"He was absolutely amazing! Even though this class was online I really felt that I learned quite a bit through the class. 10/10 Work queen. Also I think that the feedback that he offered on every assignment was very informative and helped me improve on my work for the next time. Over ",Complete
8,,"2020-10-02 16:59:19",E3E2000,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,"This is my favorite professor I have ever had. I think the feedback that he had was phenomenal and they really make my day. I highly enjoy the assignments we have and how open he is in expressing his thoughts in comparison to ours. 15/10 would recommend.",Complete
9,,"2020-10-03 10:04:50",800633981,"Strongly Agree","Strongly Agree","Strongly Agree",Agree,Great,"I think the instructor does well in the class, through reaching out to us every week and giving us reminders about due dates. He also offers assistance if we have questions and replies in a timely manner. I enjoy the class and the instructors involvement even though class is asynchronous online.",Complete
10,,"2020-10-03 15:16:28",E1G1999,"Strongly Agree","Strongly Agree",Agree,Agree,Excellent,"Could improve in giving better feedback, especially to discussions or reaction journals :) ",Complete
11,,"2020-10-03 18:08:14",DH3W1998,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,"no, I absolutely love this course ",Complete
12,,"2020-10-03 18:08:23",DH3W1998,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,"no, I absolutely love this course ",Complete
13,,"2020-10-04 12:06:25",E4L1997,"Strongly Agree","Strongly Agree","Strongly Agree",Agree,Great,Nothing,Complete
14,,"2020-10-05 15:10:53",S2S1995,Agree,Agree,Agree,"Strongly Agree",Great,"Maybe a little more time with the instructor via zoom.",Complete
15,,"2020-10-05 16:09:56",A2132,"Strongly Agree","Strongly Agree","Strongly Agree",Agree,Great,,Complete
16,,"2020-10-05 23:55:32",M1S2000,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,"I feel like the instructor has done a great job teaching this course online, therefore, I don't necessarily think he should do anything in improving the course material. I'm learning and attaining the information very well by the way he is delivering the content for this course.",Complete
17,,"2020-10-06 11:57:23",A1H2019,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,N/A,Complete
18,,"2020-10-07 23:10:11",B2G1999,"Strongly Agree",Agree,Agree,Agree,Great,"I think Cory does a great job. If anything, i would suggest lecturing; however, that is just a personal preference. ",Complete
19,,"2020-10-08 23:04:15",t0p2000,"Strongly Agree",Agree,Neutral,"Somewhat Agree",Good,,Complete
20,,"2020-10-10 09:51:28",S1C1999,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,"I don't think there needs to be any improvements! This course was very clear and helpful!",Complete
21,,"2020-10-11 19:36:55",M3H1999,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",Excellent,N/A,Complete
